date,event_type,location,kia,wia,economic_damage,summary,source_urls
"05 Sep 26","Checkpoint Attack","Bagh, Azad Jammu & Kashmir","1SF
/
1M","1SF","","One Federal Constabulary personnel, Rahim Gul, and one militant were killed in an armed clash in Bagh, Azad Kashmir. 1 rangers personnel was injured","https://dunyanews.tv/en/Pakistan/971479-fc-soldier-martyred-rangers-personnel-injured-in-azad-kashmir-gun-att | https://www.facebook.com/share/p/1BvsWi6myM/"
"04 Sep 26","Targeted Killing","Peshawar, Khyber Pakhtunkhwa","1SF","0","","Police constable Farooq Shah was killed in a targeted attack in Badhber, Peshawar.","https://www.dawn.com/news/2027538/cop-martyred-in-peshawar-attack | https://www.facebook.com/share/1LuEkTDJGv/"
"04 Sep 26","Armed Clash","Quetta, Balochistan","1M","0","","One BLA Azad militant, Nisar Ahmed alias Yasir, was killed in an armed clash in the Panjpai area of Quetta, Balochistan.","https://t.me/Insurgent_Zone/4400"
"04 Sep 26","Ambush","Nushki, Balochistan","1SF","0","","Police Constable Abdul Nasir was killed in an ambush in Nushki bazar, Nushki.","https://www.facebook.com/share/p/18eSAyetsn/"
"04 Sep 26","Armed Clash","Kalat, Balochistan","2M","0","","Two BLF militants were killed during an intelligence-based operation in Kalat, Balochistan.","https://x.com/Warfrontops/status/2095864461164986807?s=20"
"04 Sep 26","Armed Clash","Kachhi, Balochistan","2M","0","","Two Baloch Republican Guards (BRG) militants were killed in the Bhag tehsil of Kachhi district, Balochistan.","https://t.me/Insurgent_Zone/4302"
"04 Sep 26","Drone Strike","Quetta, Balochistan","4M","0","","Three TTP militants, including TTP governor for Pishin Haibatullah Umari, were killed in a drone strike in Shaban Valley, Quetta.","https://warmonitorpk.com/ttp-district-chief-among-three-militants-reportedly-killed-in-ziarat-drone-strike/"
"04 Sep 26","Armed Clash","Mastung, Balochistan","6M","0","","Six BLA militants were killed during an Intelligence Based Operation (IBO) in Mastung.","https://t.me/Insurgent_Zone/4302"
"04 Sep 26","Ambush","Kharan, Balochistan","1SF","4SF","","One FC personnel Lance Naik Asif Anwar was killed and four others were injured in an ambush in Kharan.","https://www.facebook.com/share/p/1UczWzXm4d/"
"04 Sep 26","Ambush","Duki, Balochistan","5IRR","0","","Five former Afghan National Army personnel and local peace committee members were killed in an ambush in Duki, Balochistan.","https://x.com/Info_Balochistn/status/2096520577557119474?s=20"
"03 Sep 26","Targeted Killing","Tank, Khyber Pakhtunkhwa","1SF","0","","FC personnel Fakhar Zaman was killed in a targeted attack in Tank district.","https://www.facebook.com/share/p/1Df3GLFyjr/"
"03 Sep 26","Economic Attack","Ziarat, Balochistan","","","12 machinery / equipment destroyed","Militants attacked an NPI Construction & Engineering site on Khani Baba–Ziarat Road, setting machinery on fire and taking two company pickup vehicles. Two workers were abducted during the incident.","https://x.com/ParaSF007/status/2095532384682926316"
"03 Sep 26","Checkpoint Attack","Peshawar, Khyber Pakhtunkhwa","0","2SF","","Two police constables were seriously injured in an attack on the Wazir Kala CheckPost in Peshawar.","https://www.facebook.com/share/p/1CtLBpfnWz/"
"03 Sep 26","Suicide Attack","Shaheed Sikandarabad, Balochistan","1SF","4SF","","A Vehicle Borne Improvised Explosive Device (VBIED) in Surab killed one army Havaldar from the 35 FF regiment and injured four others.","https://t.me/Insurgent_Zone/4359"
"03 Sep 26","Ambush","Pishin, Balochistan","17SF","2SF","","Seventeen FC personnel were killed and two police constables were injured in an ambush in the Ziarat Cross area of Pishin tehsil.","https://www.aljazeera.com/news/2026/9/9/pakistan-faces-new-frontier-against-attacks-balochistans-pashtun-areas | https://thebalochistanpost.net/2026/09/bla-says-25-pakistani-soldiers-killed-in-two-attacks/ | https://www.facebook.com/share/p/1VpjKEvV5Q/"
"02 Sep 26","Intel Based Operation","North Waziristan, Khyber Pakhtunkhwa","12M","0","","12 IMP militants were killed in an intelligence-based operation (IBO) in Datta Khel, North Waziristan.","https://tribune.com.pk/story/2627209/security-forces-kill-15-terrorists-trying-to-infiltrate-from-afghanistan-ispr | https://x.com/TKCkhyber/status/2095133877643972954?s=20"
"02 Sep 26","Drone Strike","South Waziristan, Khyber Pakhtunkhwa","0","1SF","","One police personnel was injured in a drone strike on Azam Warsak police station in Wana, South Waziristan.","https://t.me/Insurgent_Zone/4226"
"02 Sep 26","Encounter","Peshawar, Khyber Pakhtunkhwa","4M","0","","Four TTP militants were killed in an encounter in Badhbir, Peshawar.","https://english.news.cn/asiapacific/20260903/17353868e9a241e9a031889697e358af/c.html | https://x.com/TKCkhyber/status/2095201600285622344?s=20"
"02 Sep 26","Armed Clash","Turbat, Balochistan","2M","0","","Two BLA militants were killed in armed clashes in Turbat.","https://x.com/TKCkhyber/status/2095189690534199356?s=20"
"01 Sep 26","Checkpoint Attack","Ziarat, Balochistan","10SF","7SF","","Five Frontier Corps personnel, including a Captain, were killed in an attack on a joint Police-FC checkpost and Customs warehouse in Ziarat. Four customs officials were also killed in the attack.","https://tribune.com.pk/story/2626907/6-personnel-martyred-in-balochistan-customs-house-attack-21-terrorists-killed-across-province-ispr | https://www.facebook.com/share/p/19DVFyynHu/"
"01 Sep 26","Armed Clash","Dera Ismail Khan, Khyber Pakhtunkhwa","1M","0","","One TTP militant was killed in armed clashes in Daraban, Dera Ismail Khan.","https://t.me/Insurgent_Zone/4189"
"01 Sep 26","Armed Clash","Kech, Balochistan","2M","1SF","","Two BLA militants were killed in armed clashes in Dasht, Kech district.","https://x.com/TKCkhyber/status/2094994581842526387?s=20"
"01 Sep 26","Armed Clash","Chaman, Balochistan","1SF","0","","One Army personnel, Mulazim Hussain, was killed in armed clashes in Chaman.","https://www.facebook.com/share/p/19Km5ZfBWZ/"
"01 Sep 26","Economic Attack","Chagai, Balochistan","","","2 vehicles / trucks destroyed","Two commercial vehicles were set on fire in Chagai district, Balochistan.","https://t.me/Insurgent_Zone/4183"
"01 Sep 26","Intel Based Operation","Lakki Marwat, Khyber Pakhtunkhwa","2M","0","","Two TTP militants, Junaid and Nasir, were killed in Lakki Marwat.","https://www.dawn.com/news/2026614/2-terrorists-killed-in-lakki-marwat-ibo-police | https://t.me/Insurgent_Zone/4172?single"
"31 Aug 26","Sniper Attack","North Waziristan, Khyber Pakhtunkhwa","1SF","0","","Sepoy Shabbar Khan of the Pakistan Army was killed in a sniper attack on the checkpost in Spinwam, North Waziristan","https://www.facebook.com/share/p/1HSDip9ade/"
"31 Aug 26","IED Explosion","Karak, Khyber Pakhtunkhwa","1SF","6SF","","One Police Constable Wajidullah was killed and six other police personnel were injured in an IED attack on a police mobile in Banda Daud Shah, Karak.","https://www.dawn.com/news/2026488 | https://x.com/TKCkhyber/status/2094361978278150568?s=20"
"31 Aug 26","Intel Based Operation","Chagai, Balochistan","2SF
/
11M","2SF","","10 BLA militants were killed during an intelligence-based operation in Dalbandin, Ghagai. 1 captain of the army was also killed","https://tribune.com.pk/story/2626907/6-personnel-martyred-in-balochistan-customs-house-attack-21-terrorists-killed-across-province-ispr | https://x.com/Al_Muqatil786/status/2094377233515421812?s=20"
"31 Aug 26","Drone Strike","South Waziristan, Khyber Pakhtunkhwa","0","1SF","","One FC personnel was injured in a drone strike on Karbkot fort in Wana, South Waziristan.","https://www.facebook.com/share/p/19TmiDH3ox/"
"30 Aug 26","Intel Based Operation","Awaran, Balochistan","4M","0","","Three Balochistan Liberation Front (BLF) militants were killed in an intelligence-based operation (IBO) in Awaran district.","https://www.facebook.com/share/p/19TmiDH3ox/"
"30 Aug 26","Encounter","Mardan, Khyber Pakhtunkhwa","2M","0","","Two TTP militants were killed in an encounter in Mardan.","https://cgntoday.com/news.php?id=991&lang=en | https://x.com/TKCkhyber/status/2094106307116798415?s=20"
"30 Aug 26","Armed Clash","Washuk, Balochistan","1SF","2SF","","One Army personnel, Sepoy Zeeshan Rafiq, was killed and two others were injured in Mashkel during armed clashes with the Balochistan Liberation Front (BLF).","https://www.facebook.com/share/p/1FVwLwvFV9/"
"30 Aug 26","IED Explosion","Duki, Balochistan","0","0","","An IED blast in Duki resulted in the deaths of three civilians and injured one.","https://x.com/TKCkhyber/status/2094011986178900434?s=20"
"30 Aug 26","Armed Clash","Washuk, Balochistan","2M","0","","Two BLF militants were killed in an armed clash in Washuk.","https://x.com/Pakilad3/status/2094397702817894779?s=20"
"30 Aug 26","IED Explosion","Gwadar, Balochistan","1SF","0","","One Army personnel, Sepoy Junaid Ali Shah of 31 FF regiment, was killed in an IED attack in the Shadikour area of Pasni, Gwadar.","https://t.me/Insurgent_Zone/4192?single"
"29 Aug 26","Armed Clash","Mohmand, Khyber Pakhtunkhwa","1M","0","","A JUA militant named Zarar Mohmand was killed during clashes in Mohmand district, Khyber Pakhtunkhwa.","https://www.eurasiareview.com/31082026-denying-space-to-khwarij-precision-ibos-across-kp-oped/ | https://t.me/Insurgent_Zone/4100"
"29 Aug 26","Drone Strike","Washuk, Balochistan","4M","0","","Four BLF militants were killed in a quadcopter strike in Mashkel, Washuk district.","https://x.com/Al_Muqatil786/status/2093697649182699777?s=20"
"29 Aug 26","Ambush","Dera Ismail Khan, Khyber Pakhtunkhwa","1SF","4SF","","One Police constable Ghulam Saeed was killed and four other police personnel, including the SHO, were injured in an ambush on Tank Road in Dera Ismail Khan.","https://www.arabnews.com/node/2656222/pakistan | https://x.com/InsurgentZone_/status/2093670150901829976"
"29 Aug 26","Ambush","Kech, Balochistan","1SF","3SF","","One FC personnel, Sepoy Malik Shehryar Ahmed, was killed and three others were injured in an ambush on a four-vehicle convoy in Turbat.","https://x.com/Pakilad3/status/2093734065115635808?s=20"
"29 Aug 26","Armed Clash","Khuzdar, Balochistan","3IRR","0","","Three members of a pro-state death squad led by Shafiq Mengal were killed and one abducted in Khuzdar.","https://x.com/Info_Balochistn/status/2093649807826923691"
"28 Aug 26","IED Explosion","South Waziristan, Khyber Pakhtunkhwa","1IRR","0","","One pro-state irregular, Inayatullah Mehsud, was killed and two others were injured in an IED attack in Makin, South Waziristan.","https://www.dawn.com/news/2025733 | https://www.facebook.com/share/p/1BnF21RpCA/"
"28 Aug 26","Encounter","Karak, Khyber Pakhtunkhwa","2M","0","","Two TTP militants were killed in an encounter in Karak district.","https://english.news.cn/20260829/4313a7bed78e45a1bcac3771f706ec01/c.html | https://www.facebook.com/share/p/1Bw1VSnzrA/"
"27 Aug 26","Intel Based Operation","Bannu, Khyber Pakhtunkhwa","2M","0","","Two IMP militants, Khawre Torikhel and Hazir, were killed in Janikhel, Bannu.","https://x.com/Al_Muqatil786/status/2093405960018772179?s=20"
"27 Aug 26","Encounter","Peshawar, Khyber Pakhtunkhwa","4M","0","","Four JuA militants were killed in an encounter in Peshawar.","https://english.news.cn/asiapacific/20260828/557e0af2b5394763ad24e5cfb78a013b/c.html | https://x.com/KP_Police1/status/2093023738157760655"
"27 Aug 26","Armed Clash","North Waziristan, Khyber Pakhtunkhwa","1M","0","","An IMP militant identified as Anwar alias Mukhlis was killed in armed clashes in Datta Khel, North Waziristan.","https://x.com/PamirWatch/status/2093612452391104889"
"26 Aug 26","Ambush","Quetta, Balochistan","0","3SF","","Three ATF personnel were injured in an ambush in Quetta, Balochistan.","https://www.radio.gov.pk/26-08-2026/rangers-sepoy-martyred-another-injured-in-ajk-road-clearance-operation | https://x.com/Pakilad3/status/2092672068152373300?s=20"
"26 Aug 26","Grenade Attack","Peshawar, Khyber Pakhtunkhwa","0","2SF","","Two police personnel were injured in a grenade attack on a checkpost in Peshawar.","https://www.thehindu.com/news/international/two-killed-three-injured-in-hand-grenade-blasts-in-pakistans-nw/article71395648.ece | https://x.com/Pakilad3/status/2092672413150724506?s=20"
"26 Aug 26","Grenade Attack","South Waziristan, Khyber Pakhtunkhwa","1SF
1IRR","0","","A constable named Abdullah was killed and a pro-state individual named Musa Khan was injured in a grenade attack on a car in Sararogha, South Waziristan.","https://www.thehindu.com/news/international/two-killed-three-injured-in-hand-grenade-blasts-in-pakistans-nw/article71395648.ece | https://x.com/Pakilad3/status/2092671477648925131?s=20"
"26 Aug 26","Sniper Attack","Sudhanoti, Azad Jammu & Kashmir","1SF","1SF","","A sniper attack in Sudhnuti, Azad Jammu Kashmir, resulted in the death of Sepoy Shah Nawaz and serious injury to Lance Naik Bilal, both from the Rangers.","https://www.geo.tv/latest/679325-rangers-personnel-martyred-another-wounded-after-armed-men-open-fire-in-ajk | https://www.facebook.com/share/p/1BgAEGRDsp/"
"25 Aug 26","IED Explosion","South Waziristan, Khyber Pakhtunkhwa","0","20SF","","20 Army and FC personnel were injured in a drone strike on a military convoy in South Waziristan.","https://t.me/Insurgent_Zone/3983"
"25 Aug 26","Checkpoint Attack","Dera Ismail Khan, Khyber Pakhtunkhwa","0","5SF","","Five police personnel were injured in an attack on a police checkpost in Darazinda, Dera Ismail Khan.","https://www.arabnews.pk/node/2656222/pakistan | https://www.facebook.com/share/p/189oy2m1sU/"
"24 Aug 26","Targeted Killing","Bannu, Khyber Pakhtunkhwa","0","1SF","","A Police Constable named Sifatullah was critically injured in a targeted attack in Bannu.","https://x.com/ParaSF007/status/2091786750905717210?s=20"
"24 Aug 26","Targeted Killing","Chagai, Balochistan","1IRR","0","","A pro-state death squad member named Saddam was killed in a targeted attack in Chagai district.","https://t.me/Insurgent_Zone/3969"
"23 Aug 26","Ambush","Chagai, Balochistan","3SF","5SF","","One army personnel and two FC personnel were killed in an ambush in Charsar area of Chagai, Balochistan.","https://t.me/Insurgent_Zone/3933?single"
"23 Aug 26","Intel Based Operation","Washuk, Balochistan","4M","0","","Four BLA militants were killed in an intelligence-based operation (IBO) in Washuk district, Balochistan.","https://x.com/Pakilad3/status/2091863413005946893?s=20"
"23 Aug 26","Targeted Killing","Awaran, Balochistan","2IRR","0","","Two pro-state individuals, Faiz and Zafar, were killed in a targeted attack by militants in Jhao, Awaran.","https://x.com/InsurgentZone_/status/2091857620072034596"
"23 Aug 26","Checkpoint Attack","Khyber, Khyber Pakhtunkhwa","2SF","0","","One Frontier Corps personnel and one police constable were killed in an attack on a joint checkpost in Takhta Beg Jamrud.","https://www.24newshd.tv/24-Aug-2026/two-security-men-martyred-terror-attack-jamrud-checkpost-thwarted | https://www.facebook.com/share/p/1DV7caHuz8/"
"23 Aug 26","Checkpoint Attack","Mohmand, Khyber Pakhtunkhwa","0","5SF","","Five police constables were injured in a grenade attack on a police checkpost in Ambar Mohmand.","https://www.nation.com.pk/24-Aug-2026/governor-condemns-attack-police-post-mohmand | https://www.facebook.com/share/p/1PUQtYMXY1/"
"23 Aug 26","Ambush","Kech, Balochistan","0","3SF","","Three Frontier Corps (FC) personnel were injured in an attack by the Balochistan Liberation Army (BLA) in Turbat.","https://www.facebook.com/share/p/1YcA72UesY/"
"22 Aug 26","Armed Clash","Orakzai, Khyber Pakhtunkhwa","1M","0","","One IMP militant was killed in armed clashes in tirah Upper Orakzai.","https://t.me/Insurgent_Zone/3950"
